property_id,full_address,address_line1,address_line2,city,state,state_fips,zip_code,county,county_fips,latitude,longitude,property_type,bedrooms,bathrooms,square_footage,year_built,features,tax_assessments,property_taxes,lot_size,assessor_id,legal_description,subdivision,owner,owner_occupied
"1403-Norwalk-Ln,-Austin,-TX-78703","1403 Norwalk Ln, Austin, TX 78703",1403 Norwalk Ln,,Austin,TX,48,78703,Travis,453,30.28921,-97.7714,Apartment,1.0,1.0,682.0,1963.0,,,,,,,,,
"811-E-11th-St,-Austin,-TX-78702","811 E 11th St, Austin, TX 78702",811 E 11th St,,Austin,TX,48,78702,Travis,453,30.26942,-97.732051,Apartment,0.0,1.0,416.0,2013.0,,,,,,,,,
"2819-Foster-Ln,-Austin,-TX-78757","2819 Foster Ln, Austin, TX 78757",2819 Foster Ln,,Austin,TX,48,78757,Travis,453,30.356331,-97.73818,Apartment,,,,1979.0,,,,,,,,,
"1908-W-Loop,-Apt-A,-Austin,-TX-78758","1908 W Loop, Apt A, Austin, TX 78758",1908 W Loop,Apt A,Austin,TX,48,78758,Travis,453,30.372162,-97.718242,Multi-Family,2.0,1.0,977.0,,,,,,,,,,
"6263-Mcneil-Dr,-Austin,-TX-78729","6263 Mcneil Dr, Austin, TX 78729",6263 Mcneil Dr,,Austin,TX,48,78729,Travis,453,30.440315,-97.747084,Apartment,1.0,1.0,619.0,1996.0,,,,,,,,,
"8000-Decker-Ln,-Austin,-TX-78724","8000 Decker Ln, Austin, TX 78724",8000 Decker Ln,,Austin,TX,48,78724,Travis,453,30.308724,-97.624002,Apartment,,,,2004.0,,,,,,,,,
"1810-Adina-St,-Unit-B,-Austin,-TX-78721","1810 Adina St, Unit B, Austin, TX 78721",1810 Adina St,Unit B,Austin,TX,48,78721,Travis,453,30.283132,-97.679825,Multi-Family,3.0,2.5,1495.0,,,,,,,,,,
"8312-Fathom-Cir,-Austin,-TX-78750","8312 Fathom Cir, Austin, TX 78750",8312 Fathom Cir,,Austin,TX,48,78750,Williamson,491,30.436356,-97.7768,Apartment,,,,1984.0,,,,,,,,,
"7224-Northeast-Dr,-Austin,-TX-78723","7224 Northeast Dr, Austin, TX 78723",7224 Northeast Dr,,Austin,TX,48,78723,Travis,453,30.321055,-97.680679,Apartment,,,,1972.0,,,,,,,,,
"8001-S-Ih,---35,-Austin,-TX-78744","8001 S Ih, # 35, Austin, TX 78744",8001 S Ih,# 35,Austin,TX,48,78744,Travis,453,30.174784,-97.775327,Apartment,,,,2014.0,,,,,,,,,
"9501-N-Fm-620-Rd,-Austin,-TX-78726","9501 N Fm 620 Rd, Austin, TX 78726",9501 N Fm 620 Rd,,Austin,TX,48,78726,Travis,453,30.434316,-97.837241,Apartment,1.0,1.0,680.0,2006.0,{'unitCount': 336},"{'2014': {'year': 2014, 'value': 32487340, 'land': 3250000, 'improvements': 29237340}, '2016': {'year': 2016, 'value': 34262000, 'land': 4407161, 'improvements': 29854839}, '2017': {'year': 2017, 'value': 38436700, 'land': 5036756, 'improvements': 33399944}, '2018': {'year': 2018, 'value': 42064200, 'land': 5036756, 'improvements': 37027444}, '2019': {'year': 2019, 'value': 43150000, 'land': 5036756, 'improvements': 38113244}, '2020': {'year': 2020, 'value': 47660000, 'land': 5036756, 'improvements': 42623244}, '2021': {'year': 2021, 'value': 48920000, 'land': 5036756, 'improvements': 43883244}, '2022': {'year': 2022, 'value': 49800000, 'land': 5036756, 'improvements': 44763244}, '2023': {'year': 2023, 'value': 70900000, 'land': 5036756, 'improvements': 65863244}, '2025': {'year': 2025, 'value': 65440000, 'land': 5036756, 'improvements': 60403244}}","{'2014': {'year': 2014, 'total': 867304}, '2016': {'year': 2016, 'total': 1088528}, '2017': {'year': 2017, 'total': 1123094}, '2018': {'year': 2018, 'total': 1128961}, '2019': {'year': 2019, 'total': 1251233}, '2020': {'year': 2020, 'total': 1231044}, '2021': {'year': 2021, 'total': 1304311}, '2022': {'year': 2022, 'total': 1650666}, '2023': {'year': 2023, 'total': 1459438}, '2025': {'year': 2025, 'total': 1386159}}",,,,,,
"500-E-Anderson-Ln,-Austin,-TX-78752","500 E Anderson Ln, Austin, TX 78752",500 E Anderson Ln,,Austin,TX,48,78752,Travis,453,30.34206,-97.70144,Apartment,1.0,1.0,702.0,1967.0,,,,,,,,,
"9617-Great-Hills-Trl,-Austin,-TX-78759","9617 Great Hills Trl, Austin, TX 78759",9617 Great Hills Trl,,Austin,TX,48,78759,Travis,453,30.393533,-97.753775,Apartment,1.0,1.0,600.0,1984.0,,,,,,,,,
"625-E-Stassney-Ln,-Austin,-TX-78745","625 E Stassney Ln, Austin, TX 78745",625 E Stassney Ln,,Austin,TX,48,78745,Travis,453,30.200133,-97.769697,Apartment,1.0,1.0,700.0,2009.0,,,,,,,,,
"3621-W-Slaughter-Ln,-Austin,-TX-78749","3621 W Slaughter Ln, Austin, TX 78749",3621 W Slaughter Ln,,Austin,TX,48,78749,Travis,453,30.183309,-97.853186,Apartment,1.0,1.0,698.0,2012.0,,,,,,,,,
"8805-N-Plaza-Dr,-Austin,-TX-78753","8805 N Plaza Dr, Austin, TX 78753",8805 N Plaza Dr,,Austin,TX,48,78753,Travis,453,30.34965,-97.68629,Apartment,0.0,1.0,423.0,1978.0,{'unitCount': 352},,,,,,,,
"111-Sandra-Muraida-Way,-Austin,-TX-78703","111 Sandra Muraida Way, Austin, TX 78703",111 Sandra Muraida Way,,Austin,TX,48,78703,Travis,453,30.267449,-97.754759,Apartment,1.0,1.0,706.0,2013.0,,,,,,,,,
"1300-Pleasant-Valley-Rd-S,-Austin,-TX-78741","1300 Pleasant Valley Rd S, Austin, TX 78741",1300 Pleasant Valley Rd S,,Austin,TX,48,78741,Travis,453,30.24047,-97.719682,Apartment,,,,1972.0,,,,,,,,,
"10600-Jollyville-Rd,-Austin,-TX-78759","10600 Jollyville Rd, Austin, TX 78759",10600 Jollyville Rd,,Austin,TX,48,78759,Travis,453,30.399719,-97.749875,Apartment,2.0,2.0,1174.0,2017.0,,,,,,,,,
"460-Bastrop-Hwy-S,-Austin,-TX-78741","460 Bastrop Hwy S, Austin, TX 78741",460 Bastrop Hwy S,,Austin,TX,48,78741,Travis,453,30.237778,-97.688568,Apartment,3.0,2.0,981.0,2019.0,,,,,,,,,
"7000-E-Ben-White-Blvd,-Austin,-TX-78741","7000 E Ben White Blvd, Austin, TX 78741",7000 E Ben White Blvd,,Austin,TX,48,78741,Travis,453,30.217479,-97.702228,Apartment,2.0,2.0,,2016.0,,,,,,,,,
"1003-Justin-Ln,-Austin,-TX-78757","1003 Justin Ln, Austin, TX 78757",1003 Justin Ln,,Austin,TX,48,78757,Travis,453,30.337039,-97.722252,Apartment,,,,1984.0,,,,,,,,,
"300-West-Ave,-Austin,-TX-78701","300 West Ave, Austin, TX 78701",300 West Ave,,Austin,TX,48,78701,Travis,453,30.2686,-97.75291,Apartment,1.0,1.0,695.0,2001.0,{'unitCount': 239},,,,,,,,
"2016-Park-Bend-Dr,-Austin,-TX-78758","2016 Park Bend Dr, Austin, TX 78758",2016 Park Bend Dr,,Austin,TX,48,78758,Travis,453,30.408332,-97.698735,Multi-Family,,,184900.0,1985.0,"{'architectureType': 'Multi-Unit Building', 'fireplace': True, 'floorCount': 3, 'foundationType': 'Slab / Mat / Raft', 'roofType': 'Composition Shingle', 'unitCount': 2}","{'2018': {'year': 2018, 'value': 33465000, 'land': 3801920, 'improvements': 29663080}}","{'2018': {'year': 2018, 'total': 735065}}",475240.0,262627,LOT 1 BLK A VILLAGE AT WALNUT CREEK PHS 2 SEC 12,VILLAGE AT WALNUT CREEK PH 2,"{'names': ['TWAREL LLC'], 'mailingAddress': {'id': '540-Madison-Ave,-FL-26,-New-York,-NY-10022', 'addressLine1': '540 Madison Ave', 'addressLine2': 'FL 26', 'city': 'New York', 'state': 'NY', 'stateFips': '36', 'zipCode': '10022'}}",False
"6600-Ed-Bluestein-Blvd,-Austin,-TX-78723","6600 Ed Bluestein Blvd, Austin, TX 78723",6600 Ed Bluestein Blvd,,Austin,TX,48,78723,Travis,453,30.305748,-97.66245,Apartment,0.0,1.0,500.0,1985.0,,,,,,,,,
"1200-E-Parmer-Ln,-Austin,-TX-78753","1200 E Parmer Ln, Austin, TX 78753",1200 E Parmer Ln,,Austin,TX,48,78753,Travis,453,30.396078,-97.652516,Apartment,0.0,1.0,629.0,2013.0,,,,,,,,,
"700-Hearn-St,-Austin,-TX-78703","700 Hearn St, Austin, TX 78703",700 Hearn St,,Austin,TX,48,78703,Travis,453,30.280987,-97.771896,Apartment,1.0,1.0,,1974.0,,,,,,,,,
